step,prey_population,predator_population,total_population,total_kills,total_births,avg_prey_energy,avg_predator_energy,avg_prey_fitness,avg_predator_fitness,max_prey_generation,max_predator_generation,food_available,is_day,weather,prey_growth_rate,predator_growth_rate,kills_per_step,births_per_step,prey_smooth,predator_smooth,prey_predator_ratio,ecosystem_health,prey_momentum,predator_momentum
108,80,12,92,0,0,71.93,70.5,51.35,51.47,0,0,13791.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
109,80,12,92,0,0,71.9,70.46,51.36,51.49,0,0,13808.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
110,80,12,92,0,0,71.87,70.42,51.37,51.5,0,0,13825.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
111,80,12,92,0,0,71.84,70.38,51.39,51.52,0,0,13842.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
112,80,12,92,0,0,71.81,70.34,51.4,51.53,0,0,13859.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
113,80,12,92,0,0,71.79,70.3,51.41,51.54,0,0,13876.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
114,80,12,92,0,0,71.76,70.25,51.42,51.56,0,0,13893.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
115,80,12,92,0,0,71.73,70.21,51.43,51.57,0,0,13909.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
116,80,12,92,0,0,71.7,70.17,51.45,51.58,0,0,13925.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
117,80,12,92,0,0,71.67,70.13,51.46,51.6,0,0,13941.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
118,80,12,92,0,0,71.65,70.09,51.47,51.61,0,0,13957.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
119,80,12,92,0,0,71.62,70.04,51.48,51.62,0,0,13972.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
120,80,12,92,0,0,71.59,70.0,51.5,51.64,0,0,13988.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
121,80,12,92,0,0,71.56,69.96,51.51,51.65,0,0,14003.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
122,80,12,92,0,0,71.53,69.92,51.52,51.67,0,0,14017.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
123,80,12,92,0,0,71.5,69.87,51.53,51.68,0,0,14032.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
124,80,12,92,0,0,71.47,69.83,51.55,51.69,0,0,14047.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
125,80,12,92,0,0,71.45,69.79,51.56,51.71,0,0,14062.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
126,80,12,92,0,0,71.42,69.75,51.57,51.72,0,0,14076.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
127,80,12,92,0,0,71.39,69.7,51.58,51.73,0,0,14091.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
128,80,12,92,0,0,71.36,69.66,51.6,51.75,0,0,14105.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
129,80,12,92,0,0,71.33,69.61,51.61,51.76,0,0,14119.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
130,80,12,92,0,0,71.3,69.57,51.62,51.78,0,0,14134.0,False,CLEAR,0.0,0.0,0.0,0.0,79.8,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
131,80,12,92,0,0,71.27,69.53,51.63,51.79,0,0,14148.2,False,CLEAR,0.0,0.0,0.0,0.0,79.6,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
132,79,12,91,1,0,71.25,72.02,51.64,55.97,0,0,14162.2,False,CLEAR,-1.2499999999999956,0.0,1.0,0.0,79.4,12.0,6.583333333333333,0.979543684541236,-0.3333333333333333,0.0
133,79,12,91,1,0,71.23,71.97,51.66,55.99,0,0,14176.2,False,CLEAR,0.0,0.0,0.0,0.0,79.2,12.0,6.583333333333333,0.979543684541236,-0.3333333333333333,0.0
134,79,12,91,1,0,71.2,71.93,51.67,56.0,0,0,14190.2,False,CLEAR,0.0,0.0,0.0,0.0,79.0,12.0,6.583333333333333,0.979543684541236,-0.3333333333333333,0.0
